DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-12-07;WDOF24;0;4907,000;1;090043373;2450;1;2023-12-07;85;147
2023-12-07;WDOF24;0;4907,000;4;090043373;2460;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;5;090043373;2470;1;2023-12-07;3;147
2023-12-07;WDOF24;0;4907,000;15;090043373;2480;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;2;090043373;2490;1;2023-12-07;308;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2500;1;2023-12-07;85;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2510;1;2023-12-07;85;147
2023-12-07;WDOF24;0;4907,000;5;090043373;2520;1;2023-12-07;85;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2530;1;2023-12-07;3;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2540;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;5;090043373;2550;1;2023-12-07;308;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2560;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2570;1;2023-12-07;85;147
2023-12-07;WDOF24;0;4907,000;30;090043373;2580;1;2023-12-07;4090;147
2023-12-07;WDOF24;0;4907,000;7;090043373;2590;1;2023-12-07;120;147
2023-12-07;WDOF24;0;4907,000;1;090043373;2600;1;2023-12-07;120;4090
2023-12-07;WDOF24;0;4907,000;2;090043373;2610;1;2023-12-07;262;120
2023-12-07;WDOF24;0;4907,000;3;090043373;2620;1;2023-12-07;85;120
2023-12-07;WDOF24;0;4907,000;1;090043373;2630;1;2023-12-07;120;120
2023-12-07;WDOF24;0;4907,000;4;090043373;2640;1;2023-12-07;85;120
